[19-Jan-2015 10:50:44 America/Los_Angeles] PHP Fatal error:  Call to undefined function add_filter() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\WordPress\WordPress.php on line 53
[19-Jan-2015 10:51:51 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 274
[19-Jan-2015 10:52:54 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 274
[19-Jan-2015 10:54:01 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 274
[19-Jan-2015 10:54:01 America/Los_Angeles] PHP Fatal error:  Call to a member function getRootDirectory() on a non-object in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 38
[19-Jan-2015 10:54:07 America/Los_Angeles] PHP Fatal error:  Call to a member function getRootDirectory() on a non-object in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 38
[19-Jan-2015 10:56:00 America/Los_Angeles] PHP Fatal error:  Call to a member function getPlugin() on a non-object in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 71
[19-Jan-2015 10:56:33 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 274
[19-Jan-2015 10:56:38 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 274
[19-Jan-2015 11:03:42 America/Los_Angeles] PHP Warning:  date_default_timezone_get() [<a href='function.date-default-timezone-get'>function.date-default-timezone-get</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 192
[19-Jan-2015 11:03:56 America/Los_Angeles] PHP Warning:  date_default_timezone_get() [<a href='function.date-default-timezone-get'>function.date-default-timezone-get</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 192
